"7 batów","Góra Zamkowa","Lalka, Sfinks i Kapa",8,VI.6,przewieszona,ubezpieczona
"8 Herców","Góra Kołoczek","Lalka",20,VI.3+,pionowa,ubezpieczona
"997","Góra Zamkowa","Adept",14,VI.3,mieszana,ubezpieczona
"998","Góra Zamkowa","Adept",14,VI.2,mieszana,ubezpieczona
"A Cóż To Za Diabeł?","Góry Towarne Małe","Bałwanek",8,VI-,pionowa,asekuracja własna
"A Ja?","Zastudnie","Czarny Pies",10,VI,pionowa,ubezpieczona
"A Liban Tonie","Baba","Baba",15,VI.2,pionowa,ubezpieczona
"A ona taka ta","Pomorzańskie Skałki","Balkony",10,VI.2,mieszana,ubezpieczona
"A Vista","Słoneczne Skały","Przełaz",14,VI.1+,pionowa,ubezpieczona
"A-A-A","Dolina Brzoskwinki","Kazalnica",13,VI.1,pionowa,ubezpieczona
"A-Tak-I-Bólu","Rejon Zamkowej","Knur",10,VI.2,pionowa,ubezpieczona
"Abazy","Filar Abazego","Filar Abazego",28,VI.3+,pionowa,ubezpieczona
"Abazy Pasza","Filar Abazego","Filar Abazego",22,VI.3,pionowa,ubezpieczona
"Abazy w prawo","Filar Abazego","Filar Abazego",30,VI.3+,pionowa,ubezpieczona
"Abazy Wprost","Filar Abazego","Filar Abazego",28,VI.4,pionowa,ubezpieczona
"Abit non obit","Cmentarzysko","Lewe Cmentarzysko",15,VI.5,mieszana,ubezpieczona
"Abordaż","Okręt i Żabka","Okręt",14,VI.1+,pionowa,ubezpieczona
"Aborygen","Skały Przy Zamku","Studnisko Przy Zamku",12,VI+,pionowa,mieszana
"Abrakadabra","Maniakówka","Maniakówka",20,VI.4,mieszana,ubezpieczona
"Abramis brama","Cmentarzysko","Lewe Cmentarzysko",26,VI.3/3+,mieszana,ubezpieczona
"Absolut","Grupa Wysokiej","Wysoka Grań",14,VI+,pionowa,asekuracja własna
"Absolut wprost","Grupa Wysokiej","Wysoka Grań",14,VI.1,pionowa,asekuracja własna
"Absolutny pion","Brzuchacka Skała","Brzuchacka Skała",18,V+,pionowa,ubezpieczona
"Abstraktura","Wąwóz Ostryszni","Organy",18,VI.2,mieszana,ubezpieczona
"Acapulco","Grupa Mamutowej Skały","Jaskinia Mamutowa",28,?,mieszana,ubezpieczona
"Acapulco extension","Grupa Mamutowej Skały","Jaskinia Mamutowa",30,?,mieszana,ubezpieczona
"Acces Granted","Dolina Brzoskwinki","Cygańska",12,VI.1+,pionowa,ubezpieczona
"Adalbert","Łyse Skały","Łyse Plecy",15,VI,mieszana,ubezpieczona
"Adam Zygzak","Zubowe Skały","Kwadratowa, Biała i Ostatnia",14,VI.1,pionowa,asekuracja własna
"Adios Amigos","Gołębnik","Gołębnik",25,VI.3+,pionowa,ubezpieczona
"Adoracja pantofelka","Góra Birów","Okiennik Birowski",15,VI+,pionowa,ubezpieczona
"Adrenalina Skoczyła","Rejon Zamkowej","Knur",15,VI.1,pionowa,ubezpieczona
"Afera karabinkowa","Migdałkowa","Migdałkowa",18,VI.1,pionowa,ubezpieczona
"Agatkowa niedziela","Grupa Bramy Będkowskiej","Rotunda, Lisia Baszta i Sernik",25,VI.1,pionowa,ubezpieczona
"Agent Dołu","Diabelskie Mosty","Diabelskie Mosty",18,VI.4+,mieszana,ubezpieczona
"Agent Tomek","Grupa Mamutowej Skały","Jaskinia Mamutowa",12,VI.2,mieszana,ubezpieczona
"Agonia Gamonia","Wąwóz Ostryszni","Kowadło i Fortepian",14,IV,pionowa,ubezpieczona
"Agrado","Grupa Zaklętego Muru","Zaklęty Bastion",12,VI.5,mieszana,ubezpieczona
"Agrafka Wieżycy","Jastrzębnik","Wieżyca",18,VI.1+,mieszana,mieszana
"Agregat 79","Zegarowe Skały","Zegarowa",32,VI.4+,mieszana,ubezpieczona
"Agregatore Trawerse","Rejon Czwartej Grzędy","Biwakowa",15,VI.4,pionowa,ubezpieczona
"Agrest","Mirów nad Wartą","Jaś i Małgosia",12,V+,mieszana,ubezpieczona
"Agrestowa rysa","Słoneczne Skały","Ogrodzieniec",20,V+,pionowa,asekuracja własna
"Agro alpiniada","Biśnik","Biśnik",16,V,pionowa,asekuracja własna
"Agroturystyka","Dolina Brzoskwinki","Dzika Baszta",25,VI.3,mieszana,ubezpieczona
"Air Force One","Kozłowe Skały","Kręta",16,VI.4,pionowa,ubezpieczona
"Air Fuck One","Grupa Pytajników","Zapytajnik i Odpowiednik",7,VI,pionowa,ubezpieczona
"Airbus","Kozłowe Skały","Kręta",28,VI.4+/5,pionowa,ubezpieczona
"Akcja Wiewiórka","Ostrężnik","Ostrężnik",15,VI.2+,pionowa,ubezpieczona
"Aklamacja","Dolina Brzoskwinki","Żmijowa Płetwa",12,VI.3,pionowa,ubezpieczona
"Aksjon krzywekt","Dolina Brzoskwinki","Cygańska",10,VI.3,mieszana,ubezpieczona
"Akslop","Filar Abazego","Filar Abazego",25,VI.5+,mieszana,ubezpieczona
"Akt strzelisty","Leśna Baszta","Leśna Baszta",28,VI.2,mieszana,ubezpieczona
"Akt w antycznym łożu","Góra Birów","Wielki Mur",22,VI.1+,pionowa,ubezpieczona
"Akwizytor Mocy","Rejon Słonia","Słoń",12,VI.2,mieszana,ubezpieczona
"Ala","Północny Bastion","Zielona wieża",10,V+,pionowa,ubezpieczona
"Alameda Slim","Dolina Brzoskwinki","Żmijowa Płetwa",10,V,pionowa,ubezpieczona
"Alarm dla nietoperzy","Kula","Kula",22,VI+/1,pionowa,ubezpieczona
"Aldi Quattro VI.1","Rzędowa Skała","Rzędowa Skała",12,VI.1,pionowa,ubezpieczona
"Ale ja nie sięgam","Sułoszowa","Skała nad Potokiem",12,VI.1,pionowa,ubezpieczona
"Ale miała","Góra Birów","Deszczowa Skała",12,VI+,pionowa,ubezpieczona
"Ale rura","Mirów nad Wartą","Jaś i Małgosia",12,V,mieszana,ubezpieczona
"Alea Iacta Est","Goncerzyca","Fugu",25,IV+,połoga,asekuracja własna
"Alea Iacta Est","Goncerzyca","Sektor Centralny",25,IV+,połoga,asekuracja własna
"Aleja Snajperów","Brodło","Brodło",12,VI.2/2+,pionowa,ubezpieczona
"Aleja Zasuszonych","Grupa Mamutowej Skały","Skała nad Grotą",15,V+,mieszana,ubezpieczona
"Aleja Zasłużonych","Jastrzębnik","Jastrzębnik",14,VI.5+/6,pionowa,ubezpieczona
"Alejka róż","Grupa Wysokiej","Ściana nad Ogrodem i Sarkofag",14,IV+,pionowa,ubezpieczona
"Alibido","Słoneczne Skały","Ogrodzieniec",20,VI.4,pionowa,ubezpieczona
"Alik","Wąwóz Ostryszni","Organy",14,VI,pionowa,ubezpieczona
"Allegro","Rejon Leśnej","Płyta Wojasa",12,VI.3+,pionowa,ubezpieczona
"Allenophitecus","Dolina Racławki","Skotnicowa Skała",13,VI.3+,pionowa,ubezpieczona
"Almagrande","Zegarowe Skały","Szara Płyta",16,VI.4,mieszana,ubezpieczona
"Aloha!","Dolina Wedonki","Wielka Skała",14,VI.1+,pionowa,ubezpieczona
"Alseida","Leśna Baszta","Leśna Baszta",28,VI.1+/2,przewieszona,ubezpieczona
"Alter Weg","Cmentarzysko","Lewe Cmentarzysko",18,IV,połoga,ubezpieczona
"Alternatywy 4","Grupa Łabajowej","Łabajowa",20,VI.1+,mieszana,ubezpieczona
"Alto mortale","Grupa Zjazdowej Turni","Wysoka Płyta",14,VI.3,pionowa,ubezpieczona
"Amazulu","Zielona Góra","Płetwa",10,VI+,pionowa,ubezpieczona
"Amber Gold","Sułoszowa","Poganowe Skały",12,VI.1+,pionowa,ubezpieczona
"Ambona","Grupa Łabajowej","Mniszkowa i Lipna Ściana",12,V-,pionowa,ubezpieczona
"Ambona","Rejon Dziewicy","Biblioteka",16,VI+,pionowa,ubezpieczona
"Ambrozja","Zimny Dół","Sępia Czułowska",14,VI.3+,mieszana,ubezpieczona
"American Dream","Wąwóz Przecówki","Sarnia Skała i Ambona",10,IV,pionowa,ubezpieczona
"Ameryka też się sypie","Krzemionki","Czarne Zacięcie",18,VI.1,pionowa,ubezpieczona
"Amerykańska Papuga","Rejon Słonecznych","Słoneczne Dolne",15,VI.2,pionowa,ubezpieczona
"Amerykańska Rysa","Zakrzówek","Freney",20,VI.1,pionowa,ubezpieczona
"Amerykańska rysa","Kula","Kula",22,VI+,pionowa,ubezpieczona
"Amfora","Rejon Leśnej","Leśna Turnia",8,VI.3+,pionowa,asekuracja własna
"Aminokwas","Łężec","Skały przy Zamku",10,VI.3,przewieszona,ubezpieczona
"Ammonoidea","Jaskinia Jasna w Strzegowej","Jaskinia Jasna w Strzegowej",14,VI+,mieszana,ubezpieczona
"Amnezja","Słoneczne Skały","Soczewka",16,VI.4,mieszana,ubezpieczona
"Amonitowy trawers","Wzgórze 502","Patelnia",24,IV+,połoga,ubezpieczona
"Anakolut","Apteka","Apteka - ścianka południowo-zachodnia",9,V,połoga,ubezpieczona
"Anakonda","Łężec","Ropusza",12,VI.3,przewieszona,ubezpieczona
"Anal Predator","Rejon Faszystowskiego ogródka","Faszystowski ogródek",13,V,pionowa,ubezpieczona
"Analiza","Laboratorium","Laboratorium Drugie",8,VI+,pionowa,ubezpieczona
"Andre Agrassi (z półki)","Zimny Dół","Łysina",20,VI+,pionowa,ubezpieczona
"Androff","Grupa Wielkiej Turni","Mała Turnia",10,VI,pionowa,ubezpieczona
"Andromeda","Rejon Białego Psa","Proxima Centauri",12,VI.1+,pionowa,ubezpieczona
"Andromeda","Kacza Skała","Kacza Skała",15,VI.1+,pionowa,ubezpieczona
"Andromeda Oryginalnie","Kacza Skała","Kacza Skała",15,VI.1+,pionowa,ubezpieczona
"Andron","Grupa Wielkiej Turni","Mała Turnia",9,VI,pionowa,ubezpieczona
"Andrzej Kmicic","Łyse Skały","Łysa",10,VI.3/3+,pionowa,ubezpieczona
